id,longitude,latitude,weight,volume
6,-9.1669775,38.7382089,,
22,-9.1291254,38.7868157,,
84857,-9.4002944,38.7385775,11.0,10050.0
84884,-9.1669775,38.7382089,3.0,10050.0
84885,-9.1669775,38.7382089,10.0,10050.0
84886,-9.1669775,38.7382089,10.0,10050.0
84887,-9.1670851,38.7382425,10.0,26400.0
84888,-9.1669775,38.7382089,10.0,10050.0
84889,-9.1670851,38.7382425,10.0,10050.0
84890,-9.1669775,38.7382089,10.0,26400.0
84891,-9.1669775,38.7382089,3.0,10050.0
84893,-9.1669775,38.7382089,0.3,40000.0
84896,-9.1757841,38.7641157,5.94,10050.0
84898,-9.3022596,38.7042809,0.266,10050.0
84903,-9.1757841,38.7641157,0.06,10050.0
84904,-9.1757841,38.7641157,2.48,10050.0
84907,-9.0975568,38.7685229,0.349,10050.0
84910,-8.9408087,38.6944253,4.8,10050.0
84914,-9.1606759,38.7229918,0.12,10050.0
84915,-9.1038569,38.6122972,0.84,10050.0
84916,-9.1038569,38.6122972,0.08,10050.0
84917,-9.1903245,38.7542035,10.88,10050.0
84920,-9.0975568,38.7685229,0.229,10050.0
84921,-9.1903245,38.7542035,0.22,10050.0
84924,-9.1903245,38.7542035,1.58,10050.0
84925,-9.1606759,38.7229918,11.7,10050.0
84927,-9.3422666,38.7752668,16.5,10050.0
84929,-9.2323286,38.7419138,12.34,10050.0
84932,-9.3422666,38.7752668,0.1,10050.0
84935,-9.4002944,38.7385775,0.45,10050.0
84936,-9.4002944,38.7385775,0.5,10050.0
84937,-9.0967846,38.7677121,0.48,40000.0
84941,-9.1606759,38.7229918,0.72,10050.0
84956,-9.1038569,38.6122972,3.7,10050.0
84959,-9.1903245,38.7542035,2.4,10050.0
84964,-9.2323286,38.7419138,1.1,10050.0
84966,-9.1606759,38.7229918,16.46,10050.0
84967,-8.9408087,38.6944253,0.1,10050.0
84968,-9.1903245,38.7542035,15.2,10050.0
84970,-9.1606759,38.7229918,0.5,10050.0
84973,-9.1606759,38.7229918,0.2,10050.0
84974,-9.2323286,38.7419138,0.02,10050.0
84979,-9.1606759,38.7229918,0.28,10050.0
84980,-9.1903245,38.7542035,0.14,10050.0
84982,-9.2323286,38.7419138,0.16,10050.0
84983,-9.3270062,38.7998107,0.1,10050.0
84984,-8.9408087,38.6944253,0.1,10050.0
84987,-9.3541318,38.7787192,2.0,10050.0
84989,-9.1757841,38.7641157,5.4,10050.0
84990,-9.3541318,38.7787192,6.0,26400.0
84992,-9.1903245,38.7542035,3.14,10050.0
84993,-9.1759398,38.8192076,1.0,10050.0
84996,-9.3541318,38.7787192,1.0,10050.0
84997,-9.0975568,38.7685229,7.88,10050.0
85000,-9.3541318,38.7787192,7.0,384000.0
85008,-9.2323286,38.7419138,0.3,10050.0
85009,-9.0975568,38.7685229,0.14,10050.0
85013,-9.1959477,38.7925021,2.44,10050.0
85015,-9.1038569,38.6122972,0.28,10050.0
85016,-9.1903245,38.7542035,4.8,10050.0
85017,-9.0975568,38.7685229,12.34,10050.0
85020,-9.1903245,38.7542035,13.14,10050.0
85021,-9.0975568,38.7685229,12.34,10050.0
85022,-9.1903245,38.7542035,0.06,10050.0
85027,-9.0975568,38.7685229,0.035,10050.0
85029,-9.1606759,38.7229918,1.24,10050.0
85031,-9.1038569,38.6122972,5.4,10050.0
85032,-9.2323286,38.7419138,11.76,10050.0
85033,-9.3422666,38.7752668,4.54,10050.0
85037,-9.0334758,38.6555043,15.66,10050.0
85038,-9.2046631,38.7468035,10.0,216000.0
85050,-9.1038569,38.6122972,10.88,10050.0
85051,-9.1959477,38.7925021,0.34,10050.0
85058,-9.1959477,38.7925021,0.04,10050.0
85061,-9.0975568,38.7685229,0.36,10050.0
85062,-9.2323286,38.7419138,4.34,10050.0
85063,-9.1903245,38.7542035,3.8,10050.0
85064,-8.9882392,38.7110769,0.56,10050.0
85065,-9.1606759,38.7229918,3.26,10050.0
85066,-9.3022596,38.7042809,0.72,10050.0
85067,-9.1903245,38.7542035,0.32,10050.0
85069,-9.1757841,38.7641157,0.1,10050.0
85072,-9.0975568,38.7685229,0.06,10050.0
85074,-9.2679225,38.7453911,1.0,40000.0
85076,-9.1038569,38.6122972,0.6,10050.0
85077,-9.2679225,38.7453911,1.0,40000.0
85078,-9.2203106,38.7765938,1.42,10050.0
85079,-9.2679225,38.7453911,1.0,40000.0
85080,-9.3422666,38.7752668,4.9,10050.0
85082,-9.2679225,38.7453911,2.0,40000.0
85083,-9.2323286,38.7419138,0.017,10050.0
85084,-9.2323286,38.7419138,0.08,10050.0
85086,-9.2679225,38.7453911,1.0,40000.0
85088,-9.1606759,38.7229918,11.46,10050.0
85090,-9.1745262,38.8180109,1.02,10050.0
85094,-9.1903245,38.7542035,0.2,10050.0
85096,-9.2203106,38.7765938,0.06,10050.0
85098,-9.1606759,38.7229918,0.18,10050.0
85099,-9.0738376,38.6614759,2.66,10050.0
85101,-9.1606759,38.7229918,0.059,10050.0
85106,-9.3422666,38.7752668,5.4,10050.0
85108,-9.1556377,38.8349173,0.2,10050.0
85113,-9.1903245,38.7542035,2.32,10050.0
85115,-9.1556881,38.8341568,1.0,10050.0
85119,-9.1038569,38.6122972,18.5,10050.0
85121,-9.3541318,38.7787192,1.0,10050.0
85125,-9.1038569,38.6122972,0.5,10050.0
85127,-9.3541318,38.7787192,1.0,10050.0
85130,-9.1903245,38.7542035,0.36,10050.0
85132,-9.1493312,38.7873349,2.0,26400.0
85133,-9.2178437,38.7277374,0.574,40000.0
85134,-8.9787049,38.6442012,11.7,10050.0
85135,-9.0975568,38.7685229,10.88,10050.0
85139,-9.1493312,38.7873349,13.0,26400.0
85141,-9.1903245,38.7542035,0.78,10050.0
85142,-9.2679225,38.7453911,5.0,26400.0
85144,-9.1606759,38.7229918,0.48,10050.0
85145,-9.4002944,38.7385775,16.46,10050.0
85146,-9.0876184,38.8259518,0.36,10050.0
85147,-9.1903245,38.7542035,0.2,10050.0
85151,-9.2679225,38.7453911,3.0,40000.0
85155,-9.2323286,38.7419138,0.66,10050.0
85157,-9.2679225,38.7453911,1.0,10050.0
85163,-9.2203106,38.7765938,0.94,10050.0
85164,-9.1745262,38.8180109,0.2,10050.0
85165,-9.3422666,38.7752668,1.14,10050.0
85167,-9.4002944,38.7385775,0.12,10050.0
85171,-9.3022596,38.7042809,0.4,10050.0
85173,-9.3270062,38.7998107,0.32,10050.0
85177,-9.1903245,38.7542035,0.9,10050.0
85182,-9.1757841,38.7641157,0.12,10050.0
85183,-9.1606759,38.7229918,4.8,10050.0
85193,-9.1038569,38.6122972,0.2,10050.0
85196,-9.1745262,38.8180109,0.08,10050.0
85197,-9.1606759,38.7229918,13.8,10050.0
85198,-9.1903245,38.7542035,11.7,10050.0
85200,-9.3022596,38.7042809,0.5,10050.0
85201,-9.4002944,38.7385775,0.9,10050.0
85202,-9.3422666,38.7752668,11.0,10050.0
85203,-9.1038569,38.6122972,10.88,10050.0
85204,-9.1606759,38.7229918,0.047,10050.0
85205,-9.0876184,38.8259518,0.3,10050.0
85206,-9.1745262,38.8180109,10.5,10050.0
85207,-9.1606759,38.7229918,0.1,10050.0
85209,-9.2323286,38.7419138,0.7,10050.0
85210,-9.0975183,38.7700212,1.0,2318.75
85211,-9.1903245,38.7542035,16.46,10050.0
85215,-9.1903245,38.7542035,5.1,10050.0
85226,-9.1606811,38.7228337,6.0,10050.0
85238,-9.3022596,38.7042809,0.9,10050.0
85241,-9.2203106,38.7765938,5.26,10050.0
85245,-9.2323286,38.7419138,2.5,10050.0
85247,-9.1903245,38.7542035,6.72,10050.0
85248,-9.1903245,38.7542035,16.46,10050.0
85249,-9.1038569,38.6122972,13.1,10050.0
85251,-9.1903245,38.7542035,11.7,10050.0
85252,-9.1903245,38.7542035,0.32,10050.0
84857,-9.4530053,38.7173226,-11.0,-10050.0
84884,-9.3051139,38.7683858,-3.0,-10050.0
84885,-9.177636,38.591201,-10.0,-10050.0
84886,-9.3735035,38.8019127,-10.0,-10050.0
84887,-9.1980349,38.7955297,-10.0,-26400.0
84888,-8.9068294,38.5270416,-10.0,-10050.0
84889,-8.9491125,38.7042624,-10.0,-10050.0
84890,-9.1365834,38.4407339,-10.0,-26400.0
84891,-9.0078857,38.5982715,-3.0,-10050.0
84893,-9.038652,38.6505701,-0.3,-40000.0
84896,-9.1768769,38.7450439,-5.94,-10050.0
84898,-9.2202176,38.7965736,-0.266,-10050.0
84903,-9.1565754,38.7447151,-0.06,-10050.0
84904,-9.1586011,38.7666122,-2.48,-10050.0
84907,-9.0978471,38.7847867,-0.349,-10050.0
84910,-8.9737508,38.7089623,-4.8,-10050.0
84914,-9.1431906,38.709208,-0.12,-10050.0
84915,-9.0865827,38.5811144,-0.84,-10050.0
84916,-9.1564897,38.6625725,-0.08,-10050.0
84917,-9.2027999,38.7534801,-10.88,-10050.0
84920,-9.1030016,38.8019759,-0.229,-10050.0
84921,-9.1030016,38.8019759,-0.22,-10050.0
84924,-9.1492644,38.7810152,-1.58,-10050.0
84925,-9.1415257,38.7198863,-11.7,-10050.0
84927,-9.2812692,38.7448185,-16.5,-10050.0
84929,-9.2340221,38.7574875,-12.34,-10050.0
84932,-9.3731902,38.762701,-0.1,-10050.0
84935,-9.3464838,38.684167,-0.45,-10050.0
84936,-9.3801371,38.7240248,-0.5,-10050.0
84937,-9.0963981,38.8189766,-0.48,-40000.0
84941,-9.1831745,38.7056576,-0.72,-10050.0
84956,-9.2374733,38.6559409,-3.7,-10050.0
84959,-9.1419439,38.7910682,-2.4,-10050.0
84964,-9.1425106,38.7312895,-1.1,-10050.0
84966,-9.1696444,38.7194956,-16.46,-10050.0
84967,-8.9187786,38.6358402,-0.1,-10050.0
84968,-9.136526,38.726631,-15.2,-10050.0
84970,-9.1468055,38.7133623,-0.5,-10050.0
