id,start_time_pu,end_time_pu,start_time_do,end_time_do,weight,volume,latitude_pu,longitude_pu,latitude_do,longitude_do
84857,66360,73560,66360,73560,11.0,10050.0,38.7385775,-9.4002944,38.7173226,-9.4530053
84884,33960,41160,33960,41160,3.0,10050.0,38.7382089,-9.1669775,38.7683858,-9.3051139
84885,33780,40980,33780,40980,10.0,10050.0,38.7382089,-9.1669775,38.591201,-9.177636
84886,33960,41160,33960,41160,10.0,10050.0,38.7382089,-9.1669775,38.8019127,-9.3735035
84887,33900,41100,33900,41100,10.0,26400.0,38.7382425,-9.1670851,38.7955297,-9.1980349
84888,33780,40980,33780,40980,10.0,10050.0,38.7382089,-9.1669775,38.5270416,-8.9068294
84889,33780,40980,33780,40980,10.0,10050.0,38.7382425,-9.1670851,38.7042624,-8.9491125
84890,33720,40920,33720,40920,10.0,26400.0,38.7382089,-9.1669775,38.4407339,-9.1365834
84891,33720,40920,33720,40920,3.0,10050.0,38.7382089,-9.1669775,38.5982715,-9.0078857
84893,33720,40920,33720,40920,0.3,40000.0,38.7382089,-9.1669775,38.6505701,-9.038652
84896,33660,40860,33660,40860,5.94,10050.0,38.7641157,-9.1757841,38.7450439,-9.1768769
84898,36420,43620,36420,43620,0.266,10050.0,38.7042809,-9.3022596,38.7965736,-9.2202176
84903,36960,44160,36960,44160,0.06,10050.0,38.7641157,-9.1757841,38.7447151,-9.1565754
84904,36960,44160,36960,44160,2.48,10050.0,38.7641157,-9.1757841,38.7666122,-9.1586011
84907,37860,45060,37860,45060,0.349,10050.0,38.7685229,-9.0975568,38.7847867,-9.0978471
84910,37920,45120,37920,45120,4.8,10050.0,38.6944253,-8.9408087,38.7089623,-8.9737508
84914,36780,43980,36780,43980,0.12,10050.0,38.7229918,-9.1606759,38.709208,-9.1431906
84915,37920,45120,37920,45120,0.84,10050.0,38.6122972,-9.1038569,38.5811144,-9.0865827
84916,37920,45120,37920,45120,0.08,10050.0,38.6122972,-9.1038569,38.6625725,-9.1564897
84917,38340,45540,38340,45540,10.88,10050.0,38.7542035,-9.1903245,38.7534801,-9.2027999
84920,37860,45060,37860,45060,0.229,10050.0,38.7685229,-9.0975568,38.8019759,-9.1030016
84921,38340,45540,38340,45540,0.22,10050.0,38.7542035,-9.1903245,38.8019759,-9.1030016
84924,38340,45540,38340,45540,1.58,10050.0,38.7542035,-9.1903245,38.7810152,-9.1492644
84925,39660,46860,39660,46860,11.7,10050.0,38.7229918,-9.1606759,38.7198863,-9.1415257
84927,40140,47340,40140,47340,16.5,10050.0,38.7752668,-9.3422666,38.7448185,-9.2812692
84929,39900,47100,39900,47100,12.34,10050.0,38.7419138,-9.2323286,38.7574875,-9.2340221
84932,40380,47580,40380,47580,0.1,10050.0,38.7752668,-9.3422666,38.762701,-9.3731902
84935,40980,48180,40980,48180,0.45,10050.0,38.7385775,-9.4002944,38.684167,-9.3464838
84936,40980,48180,40980,48180,0.5,10050.0,38.7385775,-9.4002944,38.7240248,-9.3801371
84937,42300,49500,42300,49500,0.48,40000.0,38.7677121,-9.0967846,38.8189766,-9.0963981
84941,39660,46860,39660,46860,0.72,10050.0,38.7229918,-9.1606759,38.7056576,-9.1831745
84956,42840,50040,42840,50040,3.7,10050.0,38.6122972,-9.1038569,38.6559409,-9.2374733
84959,40800,48000,40800,48000,2.4,10050.0,38.7542035,-9.1903245,38.7910682,-9.1419439
84964,43740,50940,43740,50940,1.1,10050.0,38.7419138,-9.2323286,38.7312895,-9.1425106
84966,41040,48240,41040,48240,16.46,10050.0,38.7229918,-9.1606759,38.7194956,-9.1696444
84967,41400,48600,41400,48600,0.1,10050.0,38.6944253,-8.9408087,38.6358402,-8.9187786
84968,41400,48600,41400,48600,15.2,10050.0,38.7542035,-9.1903245,38.726631,-9.136526
84970,43560,50760,43560,50760,0.5,10050.0,38.7229918,-9.1606759,38.7133623,-9.1468055
