id,start_time_pu,end_time_pu,start_time_do,end_time_do,weight,volume,latitude_pu,longitude_pu,latitude_do,longitude_do
70650,32953,40153,32953,40153,10.0,26400.0,38.7382089,-9.1669775,38.6649835,-9.1894658
70651,33286,40486,33286,40486,0.5,40000.0,38.7382425,-9.1670851,38.7667258,-9.223552
70653,33280,40480,33280,40480,3.0,10050.0,38.7382425,-9.1670851,38.7536481,-9.2793957
70656,32937,40137,32937,40137,1.0,40000.0,38.7382089,-9.1669775,38.6567033,-9.0623443
70658,33230,40430,33230,40430,0.3,40000.0,38.7382425,-9.1670851,38.7626621,-9.3009063
70660,32929,40129,32929,40129,1.0,40000.0,38.7382089,-9.1669775,38.6509555,-9.1505456
70662,36348,43548,36348,43548,0.2,40000.0,38.7382425,-9.1670851,38.7737663,-9.1003042
70664,33308,40508,33308,40508,1.0,40000.0,38.7382425,-9.1670851,38.7856349,-9.3449269
70666,36330,43530,36330,43530,0.3,40000.0,38.7382089,-9.1669775,38.7507579,-9.1182673
70670,33174,40374,33174,40374,3.0,10050.0,38.7382425,-9.1670851,38.8683681,-9.4276582
70671,33299,40499,33299,40499,10.0,26400.0,38.7382425,-9.1670851,38.7557911,-9.2009225
70812,64941,72141,64941,72141,7.0,10050.0,38.7787192,-9.3541318,38.756608,-9.142599
70816,64927,72127,64927,72127,1.0,10050.0,38.7787192,-9.3541318,38.7508471,-9.1720871
70818,64909,72109,64909,72109,3.0,10050.0,38.7787192,-9.3541318,38.7540223,-9.257218
70822,64877,72077,64877,72077,8.0,216000.0,38.7787192,-9.3541318,38.7057544,-9.3888054
70830,65021,72221,65021,72221,2.0,26400.0,38.7873349,-9.1493312,38.7124041,-9.1735527
70835,64842,72042,64842,72042,1.0,26400.0,38.7873349,-9.1493312,38.7061368,-9.232233
70838,64834,72034,64834,72034,1.0,26400.0,38.7873349,-9.1493312,38.7543517,-9.1485524
70840,64827,72027,64827,72027,7.0,26400.0,38.7873349,-9.1493312,38.7103895,-9.1434985
